,ccode,country,cname,cmark,year,wars,war,warl,onset,ethonset,durest,aim,casename,ended,ethwar,waryrs,pop,lpop,polity2,gdpen,gdptype,gdpenl,lgdpenl1,lpopl1,region,western,eeurop,lamerica,ssafrica,asia,nafrme,colbrit,colfra,mtnest,lmtnest,elevdiff,Oil,ncontig,ethfrac,ef,plural,second,numlang,relfrac,plurrel,minrelpc,muslim,nwstate,polity2l,instab,anocl,deml,empethfrac,empwarl,emponset,empgdpenl,emplpopl,emplmtnest,empncontig,empolity2l,sdwars,sdonset,colwars,colonset,cowwars,cowonset,cowwarl,sdwarl,colwarl
3411,471.0,CAMEROON,CAMEROON,0.0,1970.0,0.0,0.0,0.0,0.0,0.0,,,,,,,6506.0,8.78048038482666,-7.0,0.8040000200271606,0.0,0.8080000281333923,6.694561958312988,8.75841236114502,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,17.700000762939453,2.928523540496826,4095.0,0.0,0.0,0.8918985724449158,0.8866750001907349,0.18000000715255737,0.15000000596046448,21.0,0.6399999856948853,40.0,40.0,16.0,0.0,-7.0,0.0,0.0,0.0,0.8918985724449158,0.0,0.0,0.8080000281333923,8.75841236114502,2.928523540496826,0.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3412,471.0,CAMEROON,CAMEROON,0.0,1971.0,0.0,0.0,0.0,0.0,0.0,,,,,,,6664.0,8.804474830627441,-7.0,0.8109999895095825,0.0,0.8040000200271606,6.68959903717041,8.78048038482666,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,17.700000762939453,2.928523540496826,4095.0,0.0,0.0,0.8918985724449158,0.8866750001907349,0.18000000715255737,0.15000000596046448,21.0,0.6399999856948853,40.0,40.0,16.0,0.0,-7.0,0.0,0.0,0.0,0.8918985724449158,0.0,0.0,0.8040000200271606,8.78048038482666,2.928523540496826,0.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3413,471.0,CAMEROON,CAMEROON,0.0,1972.0,0.0,0.0,0.0,0.0,0.0,,,,,,,6836.0,8.829957962036133,-8.0,0.8149999976158142,0.0,0.8109999895095825,6.698267936706543,8.804474830627441,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,17.700000762939453,2.928523540496826,4095.0,0.0,0.0,0.8918985724449158,0.8866750001907349,0.18000000715255737,0.15000000596046448,21.0,0.6399999856948853,40.0,40.0,16.0,0.0,-7.0,0.0,0.0,0.0,0.8918985724449158,0.0,0.0,0.8109999895095825,8.804474830627441,2.928523540496826,0.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3414,471.0,CAMEROON,CAMEROON,0.0,1973.0,0.0,0.0,0.0,0.0,0.0,,,,,,,7022.0,8.856802940368652,-8.0,0.8299999833106995,0.0,0.8149999976158142,6.703187942504883,8.829957962036133,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,17.700000762939453,2.928523540496826,4095.0,0.0,0.0,0.8918985724449158,0.8866750001907349,0.18000000715255737,0.15000000596046448,21.0,0.6399999856948853,40.0,40.0,16.0,0.0,-8.0,0.0,0.0,0.0,0.8918985724449158,0.0,0.0,0.8149999976158142,8.829957962036133,2.928523540496826,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3415,471.0,CAMEROON,CAMEROON,0.0,1974.0,0.0,0.0,0.0,0.0,0.0,,,,,,,7223.0,8.885025978088379,-8.0,0.9020000100135803,0.0,0.8299999833106995,6.721425533294678,8.856802940368652,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,17.700000762939453,2.928523540496826,4095.0,0.0,0.0,0.8918985724449158,0.8866750001907349,0.18000000715255737,0.15000000596046448,21.0,0.6399999856948853,40.0,40.0,16.0,0.0,-8.0,0.0,0.0,0.0,0.8918985724449158,0.0,0.0,0.8299999833106995,8.856802940368652,2.928523540496826,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3416,471.0,CAMEROON,CAMEROON,0.0,1975.0,0.0,0.0,0.0,0.0,0.0,,,,,,,7439.0,8.914491653442383,-8.0,0.859000027179718,0.0,0.9020000100135803,6.804614543914795,8.885025978088379,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,17.700000762939453,2.928523540496826,4095.0,0.0,0.0,0.8918985724449158,0.8866750001907349,0.18000000715255737,0.15000000596046448,21.0,0.6399999856948853,40.0,40.0,16.0,0.0,-8.0,0.0,0.0,0.0,0.8918985724449158,0.0,0.0,0.9020000100135803,8.885025978088379,2.928523540496826,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3417,471.0,CAMEROON,CAMEROON,0.0,1976.0,0.0,0.0,0.0,0.0,0.0,,,,,,,7671.0,8.945201873779297,-8.0,0.8880000114440918,0.0,0.859000027179718,6.755768775939941,8.914491653442383,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,17.700000762939453,2.928523540496826,4095.0,0.0,0.0,0.8918985724449158,0.8866750001907349,0.18000000715255737,0.15000000596046448,21.0,0.6399999856948853,40.0,40.0,16.0,0.0,-8.0,0.0,0.0,0.0,0.8918985724449158,0.0,0.0,0.859000027179718,8.914491653442383,2.928523540496826,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3418,471.0,CAMEROON,CAMEROON,0.0,1977.0,0.0,0.0,0.0,0.0,0.0,,,,,,,7921.0,8.977272987365723,-8.0,0.8939999938011169,0.0,0.8880000114440918,6.788971900939941,8.945201873779297,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,17.700000762939453,2.928523540496826,4095.0,0.0,0.0,0.8918985724449158,0.8866750001907349,0.18000000715255737,0.15000000596046448,21.0,0.6399999856948853,40.0,40.0,16.0,0.0,-8.0,0.0,0.0,0.0,0.8918985724449158,0.0,0.0,0.8880000114440918,8.945201873779297,2.928523540496826,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3419,471.0,CAMEROON,CAMEROON,0.0,1978.0,0.0,0.0,0.0,0.0,0.0,,,,,,,8183.0,9.009814262390137,-8.0,0.972000002861023,0.0,0.8939999938011169,6.795705795288086,8.977272987365723,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,17.700000762939453,2.928523540496826,4095.0,0.0,0.0,0.8918985724449158,0.8866750001907349,0.18000000715255737,0.15000000596046448,21.0,0.6399999856948853,40.0,40.0,16.0,0.0,-8.0,0.0,0.0,0.0,0.8918985724449158,0.0,0.0,0.8939999938011169,8.977272987365723,2.928523540496826,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3420,471.0,CAMEROON,CAMEROON,0.0,1979.0,0.0,0.0,0.0,0.0,0.0,,,,,,,8445.0,9.041329383850098,-8.0,1.0720000267028809,0.0,0.972000002861023,6.8793559074401855,9.009814262390137,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,17.700000762939453,2.928523540496826,4095.0,0.0,0.0,0.8918985724449158,0.8866750001907349,0.18000000715255737,0.15000000596046448,21.0,0.6399999856948853,40.0,40.0,16.0,0.0,-8.0,0.0,0.0,0.0,0.8918985724449158,0.0,0.0,0.972000002861023,9.009814262390137,2.928523540496826,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
